,timestamp,actions_heatpump_operation_modus,actions_heatpump_compression_states,actions_heatpump_temp_setpoint,actions_heatpump_flow_setpoint,actions_battery_system_status,actions_battery_real_power,actions_battery_reactive_power,actions_battery_reason,actions_chargingstation_totalpower,actions_reset_heatpump_timer,actions_distr_heat_temp_sp,costs_discounted_cost_calculated,costs_pv,costs_battery,costs_base_cs,costs_grid_cs,costs_cs_cost_calculated,costs_base_el,costs_grid_el,costs_grid_only_solar,costs_el_cost_calculated,costs_savings_calculated,costs_el_savings,costs_cs_savings,costs_el_savings_wout_battery,costs_heat_cost_calculated,battery_state_of_charge,battery_battery_status,battery_battery_operating_status,battery_system_status,battery_power,pv_1_power,electricity_demand_total_load,electricity_demand_heatpump_load,price_price
2023-01-02 15:30:00,1672673400.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5984334002980362,0.5935105985963514,0.5935105985963512,True,True,-0.2302721275705032,-0.10971010152863336,-0.10478729982694845,False,100.0,operating,standby,operating,0.0,225.0423635055934,27356.95544219594,0.0,4.8299999999999995e-05
2023-01-02 15:45:00,1672674300.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5998512307821496,0.594732887213593,0.5947328872135931,True,True,-0.23007658570363132,-0.10971010152863336,-0.1045917579600768,False,100.0,operating,standby,operating,0.0,233.98142027687408,27421.770550041125,0.0,4.8299999999999995e-05
2023-01-02 16:00:00,1672675200.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6005880249393601,0.6005880249393601,0.6005880249393601,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,27455.452568656463,0.0,5.1899999999999994e-05
2023-01-02 16:15:00,1672676100.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6076285544509059,0.6076285544509058,0.6076285544509059,True,True,-0.23519492927218788,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,27777.305346327128,0.0,5.1899999999999994e-05
2023-01-02 16:30:00,1672677000.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6157388167729291,0.6157388167729291,0.6157388167729291,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,28148.0601953339,0.0,5.1899999999999994e-05
2023-01-02 16:45:00,1672677900.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.628854417616502,0.628854417616502,0.628854417616502,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,28747.63051961152,0.0,5.1899999999999994e-05
2023-01-02 17:00:00,1672678800.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6399816640672317,0.6399816640672317,0.6399816640672317,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,29256.30464307345,0.0,5.6e-05
2023-01-02 17:15:00,1672679700.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.655276140999745,0.655276140999745,0.655276140999745,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,29955.480731416912,0.0,5.6e-05
2023-01-02 17:30:00,1672680600.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6700899126478058,0.6700899126478058,0.6700899126478058,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,30632.681721042554,0.0,5.6e-05
2023-01-02 17:45:00,1672681500.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6804213838421166,0.6804213838421166,0.6804213838421166,True,True,-0.235194929272188,-0.10971010152863336,-0.10971010152863336,False,100.0,operating,standby,operating,0.0,0.0,31104.977547068185,0.0,5.6e-05
